AutoGreen local log
周四 2026/07 17:38:10.89
周五 2026/07 15:30:02.91
周五 2026/07 15:32:21.92
周五 2026/07 17:00:02.41
周五 2026/07 17:02:25.64
周五 2026/07 19:30:05.43
周六 2026/07 23:34:10.97
周日 2026/07 15:06:33.17
周日 2026/07 15:08:50.56
周一 2026/07  9:00:03.95
周一 2026/07 12:30:03.69
周一 2026/07 19:30:05.03
周二 2026/07  9:44:05.85
周二 2026/07 12:44:02.86
周二 2026/07 13:14:03.44
周二 2026/07 19:44:06.33
周三 2026/07  9:30:05.50
周三 2026/07 12:30:05.77
周三 2026/07 13:30:05.94
周三 2026/07 14:30:05.99
周三 2026/07 15:00:05.42
周三 2026/07 16:00:08.15
周三 2026/07 16:30:06.00
周三 2026/07 17:00:06.92
周五 2026/07  8:10:38.85
周五 2026/07  9:40:39.60
周五 2026/07 17:00:05.02
周五 2026/07 17:30:04.99
周六 2026/07  8:30:04.62
周六 2026/07 12:00:04.21
周六 2026/07 14:00:03.59
周六 2026/07 15:00:04.03
周六 2026/07 18:00:04.23
周六 2026/07 18:30:04.25
周六 2026/07 19:30:04.70
周日 2026/07 15:30:03.01
周日 2026/07 17:30:03.26
周日 2026/07 18:00:03.37
周一 2026/07 10:56:33.79
周一 2026/07 13:56:32.32
周一 2026/07 18:56:32.62
周二 2026/07 14:30:03.40
周二 2026/07 18:30:03.26
周三 2026/07  9:00:05.54
周三 2026/07 10:00:05.34
周三 2026/07 14:00:03.33
周三 2026/07 16:30:04.95
周三 2026/07 18:00:04.56
周三 2026/07 18:30:05.66
周四 2026/07 11:00:05.78
周四 2026/07 13:30:05.66
周四 2026/07 15:30:05.69
周五 2026/07 11:00:04.97
周五 2026/07 12:30:03.03
周五 2026/07 19:00:04.90
周六 2026/07 12:00:04.10
周六 2026/07 13:00:04.62
周六 2026/07 15:00:04.20
周六 2026/07 18:00:02.79
周六 2026/07 18:30:02.68
周一 2026/07  9:30:04.99
周一 2026/07 10:00:04.82
周一 2026/07 10:30:08.01
周一 2026/07 11:00:05.10
周一 2026/07 12:00:04.86
周一 2026/07 13:00:05.02
周一 2026/07 14:00:04.77
周一 2026/07 19:30:05.68
周二 2026/07  8:30:05.48
周二 2026/07  9:30:05.40
周二 2026/07 12:30:05.60
周二 2026/07 15:00:05.81
周二 2026/07 17:30:05.64
周二 2026/07 19:00:05.89
周三 2026/07  9:00:03.26
周三 2026/07 12:00:03.22
周三 2026/07 14:30:03.35
周三 2026/07 15:00:03.11
周三 2026/07 15:30:03.41
周三 2026/07 18:30:04.01
周五 2026/07 17:30:05.28
周五 2026/07 18:30:05.38
周六 2026/08  8:30:04.98
周六 2026/08 11:30:05.07
周六 2026/08 12:30:04.84
周六 2026/08 14:00:03.63
周六 2026/08 14:30:04.88
周六 2026/08 16:30:04.81
周六 2026/08 17:30:04.90
周日 2026/08  9:00:05.02
周日 2026/08  9:30:08.23
周日 2026/08 11:30:03.55
周日 2026/08 13:30:03.08
周日 2026/08 14:30:03.43
周日 2026/08 19:00:04.34
周日 2026/08 19:30:04.09
周一 2026/08 12:30:05.12
周一 2026/08 14:00:05.00
周一 2026/08 15:30:05.18
周一 2026/08 16:00:05.07
周二 2026/08 12:00:03.70
周二 2026/08 12:30:03.50
周二 2026/08 14:00:03.75
周二 2026/08 14:30:03.19
周二 2026/08 15:30:03.69
周二 2026/08 18:30:04.29
周二 2026/08 19:30:03.63
周四 2026/08  9:30:04.42
周四 2026/08 10:00:17.63
周四 2026/08 11:30:18.62
周五 2026/08 11:00:05.59
周五 2026/08 12:30:04.87
周五 2026/08 13:30:03.83
周五 2026/08 14:00:03.42
周五 2026/08 14:30:03.80
周五 2026/08 15:30:03.68
周五 2026/08 17:00:04.01
周五 2026/08 18:30:10.26
周六 2026/08 11:00:04.61
周六 2026/08 12:00:03.97
周六 2026/08 13:30:04.05
周六 2026/08 15:00:03.15
周日 2026/08  9:30:05.88
周日 2026/08 10:00:04.10
周日 2026/08 10:30:04.07
周日 2026/08 11:00:04.07
周日 2026/08 13:30:04.10
周一 2026/08 11:00:02.90
周一 2026/08 13:00:02.97
周一 2026/08 15:00:02.88
周一 2026/08 15:30:02.94
周一 2026/08 16:00:02.82
周二 2026/08 11:00:03.29
周二 2026/08 12:00:03.02
周二 2026/08 14:00:03.18
周二 2026/08 16:00:04.57
周二 2026/08 17:00:04.73
周二 2026/08 18:30:04.88
周二 2026/08 19:30:04.46
周三 2026/08  8:13:14.34
周三 2026/08 12:13:14.77
周三 2026/08 13:13:14.93
周三 2026/08 15:43:13.59
周三 2026/08 18:13:13.25
周四 2026/08 14:00:08.02
周四 2026/08 16:00:05.72
周四 2026/08 16:30:05.70
周四 2026/08 17:00:05.61
周四 2026/08 18:00:06.65
周四 2026/08 19:00:05.03
周五 2026/08  9:30:02.64
周五 2026/08 15:30:02.61
周五 2026/08 17:00:02.68
周六 2026/08 11:57:46.17
周六 2026/08 12:27:46.14
周六 2026/08 17:27:46.32
周日 2026/08  9:30:03.55
周日 2026/08 11:00:03.79
周日 2026/08 15:00:05.24
周日 2026/08 16:00:05.01
周一 2026/08 11:00:04.16
周一 2026/08 14:00:02.72
周一 2026/08 16:00:02.64
